"Year","Average_Exchange","Average_VIX_Score","Average_VNIXDEX_Score","Average_Inflation","Average_Diff_IR","num_int_students","Num_foreign_tourists"
2000,14167.75,23.3646421674245,150.452,-0.495075300237148,-0.520833333333333,2022,2140.1
2001,14725.1666666667,25.9300879438385,310.136666666667,-0.52727460543813,1.34666666666667,2830,2330.8
2002,15279.5,27.2034267358944,193.885833333333,-0.506411779990665,3.13333333333333,2722,2628.2
2003,15509.5833333333,22.0908105697379,152.901666666667,-0.496982979696216,4.42916666666667,3168,2429.6
2004,15746,15.4842924438897,243.660833333333,-0.452950953129399,3.65909090909091,3670,2927.876
2005,15858.9166666667,12.7951876430206,263.985,-0.399845662811567,1.75,4897,3467.787
2006,15994.25,12.7810198107258,516.099166666667,-0.36273934102314,0.104166666666667,6036,3863.486
2007,16105.125,17.4488531279615,1009.00333333333,-0.3110221267461,1.5,8769,4171.864
2008,16302.25,32.6549724868,482.0575,-0.141895491897578,9.23916666666667,12823,4230.23
2009,17065.0833333333,31.6615499924053,432.635833333333,-0.0719073288665862,7.20333333333333,13112,3776.7
2010,18612.9166666667,22.5906714880911,485.620833333333,-0.000334955413008039,8.03666666666667,14888,5034.7
2011,20509.75,24.0318992094862,431.5125,0.139022423513968,13.2033333333333,18872,5921.925
2012,20828,17.7996815569061,413.418333333333,0.206583145507071,11.4533333333333,16098,6744.158
2013,20933.4166666667,14.2285442715815,490.535,0.255925078412629,7.37,16873,7581.564
2014,21148,14.1484535242916,583.1075,0.279975242791201,6.45333333333333,18722,7887
2015,21697.5675,16.6826842105263,579.4025,0.285099888983382,6.34916666666667,21403,7898.8
2016,21935.0008333333,15.9236052487114,627.77,0.298784559792072,6.09916666666667,22438,10012.7
2017,22370.0866666667,11.0964716827477,792.048333333333,0.312362622766622,5.37,24328,12922.5
2018,22602.05,16.7433890308776,1007.12916666667,0.323014889113528,4.41166666666667,24392,15497.79
2019,23050.2416666667,15.3658258413656,970.765,0.332590022259739,4.03666666666667,23777,18008.6
2020,23208.3683333333,29.0802414654059,879.808333333333,0.352090260788913,4.28666666666667,21631,3686.78
2021,23159.7825,19.721195931611,1316.42333333333,0.324561696976439,3.87,20713,3.5
2022,23271.2125,25.6178456075135,1251.72666666667,0.278560312974556,2.6825,21900,3661.2
2023,23787.3191666667,16.8313337056409,1108.19333333333,0.27010629714514,-0.205,22066,12602.4
2024,24132.62,14.5882776562206,1244.13375,0.275373412173449,NA,22200,1583.661
