"Year","Month","ExRate","VIX_Score","VNINDEX_Score","Num_Foreign_Tourists","Log_PI","Difference_In_IR"
2000,1,14041,23.202,NA,NA,-0.466109914858969,0.5
2000,2,14058,23.5955,NA,NA,-0.456508354343248,0.25
2000,3,14061,22.7182608695652,NA,NA,-0.476110635488203,0
2000,4,14063,27.1642105263158,NA,NA,-0.484156260094607,0
2000,5,14077,26.3731818181818,NA,NA,-0.491101946189269,-0.5
2000,6,14085,21.54,NA,NA,-0.501509177178767,-1.1
2000,7,14091,19.893,NA,NA,-0.509774651520016,-1.1
2000,8,14106,18.0886956521739,115.15,NA,-0.508934668270291,-1.1
2000,9,14162,19.6875,120.71,NA,-0.515775505930917,-1.1
2000,10,14306,25.2,140.84,NA,-0.516690743218389,-1.1
2000,11,14452,26.3828571428571,168.73,NA,-0.507782496586907,-0.5
2000,12,14511,26.5305,206.83,NA,-0.506449249166192,-0.5
2001,1,14534,24.9185714285714,245.8,NA,-0.510203152535185,-0.0199999999999996
2001,2,14557,23.4115789473684,252.4,NA,-0.510040353737417,0.5
2001,3,14552,28.4968181818182,269.3,NA,-0.519858584829055,0.69
2001,4,14557,28.134,321.07,NA,-0.529027166909563,0.62
2001,5,14604,22.9440909090909,404.26,NA,-0.535129716102413,1.17
2001,6,14769,20.9404761904762,500.28,NA,-0.536846244233549,1.43
2001,7,14897,22.3161904761905,422.46,NA,-0.535702528521395,1.05
2001,8,14979,21.8617391304348,277.4,NA,-0.535702528521395,1.14
2001,9,14099,35.0653333333333,244.46,NA,-0.535212547484113,1.53
2001,10,15022,32.7213043478261,260.29,NA,-0.533454673834718,2.28
2001,11,15063,26.6309523809524,288.52,NA,-0.529350797933111,2.72
2001,12,15069,23.72,235.4,NA,-0.516766970615641,3.05
2002,1,15101,22.2528571428571,207.55,NA,-0.508816644184583,3.05
2002,2,15151,22.8757894736842,191.1,NA,-0.49087231390959,3.05
2002,3,15242,18.985,200.15,NA,-0.504544577890921,3.05
2002,4,15214,19.9004545454545,208.48,NA,-0.510138657905422,3.05
2002,5,15243,20.0877272727273,207.12,NA,-0.507314936787572,3.05
2002,6,15303,25.271,202.06,NA,-0.506793360238052,3.05
2002,7,15303,34.0495454545455,197.57,NA,-0.508890217331444,3.05
2002,8,15329,33.7427272727273,191.66,NA,-0.511268181758368,3.05
2002,9,15339,37.6475,182.13,NA,-0.510946098436337,3.05
2002,10,15357,35.2430434782609,177.61,NA,-0.509503428729929,3.05
2002,11,15376,28.175,177.87,NA,-0.506504925733672,3.55
2002,12,15396,28.2104761904762,183.33,NA,-0.501348016982087,3.55
2003,1,15433,27.4242857142857,172.38,NA,-0.496685498587188,3.55
2003,2,15418,32.2184210526316,164.61,NA,-0.482683417061508,3.55
2003,3,15427,30.6342857142857,145.41,NA,-0.494620478161911,5.35
2003,4,15452,23.9919047619048,152.54,NA,-0.492487270431897,5.35
2003,5,15478,20.2395238095238,152.24,NA,-0.491796113783217,5.35
2003,6,15486,20.362380952381,152.27,NA,-0.495979115648996,5
2003,7,15510,19.1613636363636,146.32,NA,-0.500093755920778,5
2003,8,15519,19.2742857142857,142.71,NA,-0.504858737883119,4
2003,9,15537,19.532380952381,139.32,NA,-0.507064895394283,4
2003,10,15573,18.0234782608696,136.21,NA,-0.507961585085807,4
2003,11,15639,17.4010526315789,163.87,NA,-0.499387526561842,4
2003,12,15643,16.8263636363636,166.94,NA,-0.490177361834046,4
2004,1,15670,16.101,214.32,NA,-0.484257567407802,4
2004,2,15728,15.9984210526316,260.6,NA,-0.460098520004563,4
2004,3,15754,17.6873913043478,277.44,NA,-0.458388774348647,4
2004,4,15727,15.6985714285714,264.43,NA,-0.456685153154926,4
2004,5,15746,17.705,251.99,NA,-0.453534821532467,4
2004,6,15732,15.3427272727273,249.7,NA,-0.44880463677593,3.75
2004,7,15735,15.502380952381,238.44,NA,-0.4421653989985,3.75
2004,8,15762,16.6840909090909,232.38,NA,-0.436731351086894,3.5
2004,9,15755,14.0809523809524,233.19,NA,-0.435892354854861,3.25
2004,10,15755,14.9738095238095,232.59,NA,NA,3.25
2004,11,15812,13.577619047619,229.56,NA,NA,NA
2004,12,15776,12.4595454545455,239.29,NA,NA,2.75
2005,1,15817,13.438,233.32,NA,NA,2.75
2005,2,15794,11.7089473684211,235.1,NA,NA,2.5
2005,3,15815,13.1263636363636,246.51,NA,NA,2.25
2005,4,15817,14.4590476190476,246.25,NA,-0.409732380164734,2.25
2005,5,15844,13.967619047619,244.24,NA,-0.403671988721519,2
2005,6,15865,11.8686363636364,246.81,NA,-0.400209882730172,1.75
2005,7,15872,11.049,245.53,NA,-0.400789080883907,1.75
2005,8,15877,12.9513043478261,254.5,NA,-0.401918612093496,1.5
2005,9,15885,12.6280952380952,289.33,NA,-0.406123435979209,1.25
2005,10,15905,14.937619047619,307.4,NA,-0.404152341263907,1.25
2005,11,15908,12.147619047619,311.33,NA,-0.392037673749129,1
2005,12,15908,11.26,307.5,NA,-0.37997556971803,0.75
2006,1,15924,12.036,312.32,NA,-0.375673596541932,0.5
