Year + Month ,"Domestic Currency per U.S. Dollar, Period Average"
2000M01,"14,041.00"
2000M02,"14,058.00"
2000M03,"14,061.00"
2000M04,"14,063.00"
2000M05,"14,077.00"
2000M06,"14,085.00"
2000M07,"14,091.00"
2000M08,"14,106.00"
2000M09,"14,162.00"
2000M10,"14,306.00"
2000M11,"14,452.00"
2000M12,"14,511.00"
2001M01,"14,534.00"
2001M02,"14,557.00"
2001M03,"14,552.00"
2001M04,"14,557.00"
2001M05,"14,604.00"
2001M06,"14,769.00"
2001M07,"14,897.00"
2001M08,"14,979.00"
2001M09,"14,099.00"
2001M10,"15,022.00"
2001M11,"15,063.00"
2001M12,"15,069.00"
2002M01,"15,101.00"
2002M02,"15,151.00"
2002M03,"15,242.00"
2002M04,"15,214.00"
2002M05,"15,243.00"
2002M06,"15,303.00"
2002M07,"15,303.00"
2002M08,"15,329.00"
2002M09,"15,339.00"
2002M10,"15,357.00"
2002M11,"15,376.00"
2002M12,"15,396.00"
2003M01,"15,433.00"
2003M02,"15,418.00"
2003M03,"15,427.00"
2003M04,"15,452.00"
2003M05,"15,478.00"
2003M06,"15,486.00"
2003M07,"15,510.00"
2003M08,"15,519.00"
2003M09,"15,537.00"
2003M10,"15,573.00"
2003M11,"15,639.00"
2003M12,"15,643.00"
2004M01,"15,670.00"
2004M02,"15,728.00"
2004M03,"15,754.00"
2004M04,"15,727.00"
2004M05,"15,746.00"
2004M06,"15,732.00"
2004M07,"15,735.00"
2004M08,"15,762.00"
2004M09,"15,755.00"
2004M10,"15,755.00"
2004M11,"15,812.00"
2004M12,"15,776.00"
2005M01,"15,817.00"
2005M02,"15,794.00"
2005M03,"15,815.00"
2005M04,"15,817.00"
2005M05,"15,844.00"
2005M06,"15,865.00"
2005M07,"15,872.00"
2005M08,"15,877.00"
2005M09,"15,885.00"
2005M10,"15,905.00"
2005M11,"15,908.00"
2005M12,"15,908.00"
2006M01,"15,924.00"
2006M02,"15,924.00"
2006M03,"15,914.00"
2006M04,"15,930.00"
2006M05,"15,973.00"
2006M06,"15,989.00"
2006M07,"15,997.00"
2006M08,"16,011.00"
2006M09,"16,038.00"
2006M10,"16,065.00"
2006M11,"16,093.00"
2006M12,"16,073.00"
2007M01,"16,061.00"
2007M02,"15,994.00"
2007M03,"16,012.00"
2007M04,"16,039.00"
2007M05,"16,062.00"
2007M06,"16,109.00"
2007M07,"16,139.00"
2007M08,"16,240.00"
2007M09,"16,238.50"
2007M10,"16,109.00"
2007M11,"16,141.00"
2007M12,"16,117.00"
2008M01,"16,104.00"
2008M02,"16,070.00"
2008M03,"16,004.00"
2008M04,"15,960.00"
2008M05,"16,022.00"
2008M06,"16,347.00"
2008M07,"16,507.00"
2008M08,"16,495.00"
2008M09,"16,508.00"
2008M10,"16,517.00"
2008M11,"16,493.00"
2008M12,"16,600.00"
2009M01,"16,973.00"
2009M02,"16,976.00"
2009M03,"16,973.00"
2009M04,"16,938.00"
2009M05,"16,938.00"
2009M06,"16,949.00"
2009M07,"16,961.00"
2009M08,"16,968.00"
2009M09,"16,984.00"
2009M10,"17,002.00"
2009M11,"17,177.00"
2009M12,"17,942.00"
2010M01,"17,941.00"
2010M02,"18,243.00"
2010M03,"18,544.00"
2010M04,"18,544.00"
2010M05,"18,544.00"
2010M06,"18,544.00"
2010M07,"18,544.00"
2010M08,"18,723.00"
2010M09,"18,932.00"
2010M10,"18,932.00"
2010M11,"18,932.00"
2010M12,"18,932.00"
2011M01,"18,932.00"
2011M02,"20,318.00"
2011M03,"20,673.00"
2011M04,"20,714.00"
2011M05,"20,678.00"
