Base Year,Interest Rate
2000M01,6.00
2000M02,6.00
2000M03,6.00
2000M04,6.00
2000M05,6.00
2000M06,5.40
2000M07,5.40
2000M08,5.40
2000M09,5.40
2000M10,5.40
2000M11,6.00
2000M12,6.00
2001M01,6.00
2001M02,6.00
2001M03,6.00
2001M04,5.40
2001M05,5.40
2001M06,5.40
2001M07,4.80
2001M08,4.80
2001M09,4.80
2001M10,4.80
2001M11,4.80
2001M12,4.80
2002,4.80
2002Q1,4.80
2002M01,4.80
2002M02,4.80
2002M03,4.80
2002Q2,4.80
2002M04,4.80
2002M05,4.80
2002M06,4.80
2002Q3,4.80
2002M07,4.80
2002M08,4.80
2002M09,4.80
2002Q4,4.80
2002M10,4.80
2002M11,4.80
2002M12,4.80
2003,5.00
2003Q1,6.60
2003M01,4.80
2003M02,4.80
2003M03,6.60
2003Q2,6.00
2003M04,6.60
2003M05,6.60
2003M06,6.00
2003Q3,5.00
2003M07,6.00
2003M08,5.00
2003M09,5.00
2003Q4,5.00
2003M10,5.00
2003M11,5.00
2003M12,5.00
2004,5.00
2004Q1,5.00
2004M01,5.00
2004M02,5.00
2004M03,5.00
2004Q2,5.00
2004M04,5.00
2004M05,5.00
2004M06,5.00
2004Q3,5.00
2004M07,5.00
2004M08,5.00
2004M09,5.00
2004Q4,5.00
2004M10,5.00
2004M11,...
2004M12,5.00
2005,5.00
2005Q1,5.00
2005M01,5.00
2005M02,5.00
2005M03,5.00
2005Q2,5.00
2005M04,5.00
2005M05,5.00
2005M06,5.00
2005Q3,5.00
2005M07,5.00
2005M08,5.00
2005M09,5.00
2005Q4,5.00
2005M10,5.00
2005M11,5.00
2005M12,5.00
2006,6.50
2006Q1,5.00
2006M01,5.00
2006M02,5.00
2006M03,5.00
2006Q2,5.00
2006M04,5.00
2006M05,5.00
2006M06,5.00
2006Q3,5.00
2006M07,5.00
2006M08,5.00
2006M09,5.00
2006Q4,6.50
2006M10,5.00
2006M11,5.00
2006M12,6.50
2007,6.50
2007Q1,6.50
2007M01,6.50
2007M02,6.50
2007M03,6.50
2007Q2,6.50
2007M04,6.50
2007M05,6.50
2007M06,6.50
2007Q3,6.50
2007M07,6.50
2007M08,6.50
2007M09,6.50
2007Q4,6.50
2007M10,6.50
2007M11,6.50
2007M12,6.50
2008,10.25
2008Q1,7.50
2008M01,6.50
2008M02,7.50
2008M03,7.50
2008Q2,15.00
2008M04,7.50
2008M05,7.50
2008M06,15.00
2008Q3,15.00
2008M07,15.00
2008M08,15.00
2008M09,15.00
2008Q4,10.25
2008M10,14.00
2008M11,12.50
2008M12,10.25
2009,8.00
2009Q1,8.00
2009M01,8.00
2009M02,8.00
2009M03,8.00
2009Q2,7.00
2009M04,7.00
2009M05,7.00
2009M06,7.00
2009Q3,7.00
2009M07,7.00
2009M08,7.00
2009M09,7.00
2009Q4,8.00
2009M10,7.00
2009M11,7.00
