Year+Month,Interest Rates
2000M01,5.50
2000M02,5.75
2000M03,6.00
2000M04,6.00
2000M05,6.50
2000M06,6.50
2000M07,6.50
2000M08,6.50
2000M09,6.50
2000M10,6.50
2000M11,6.50
2000M12,6.50
2001M01,6.02
2001M02,5.50
2001M03,5.31
2001M04,4.78
2001M05,4.23
2001M06,3.97
2001M07,3.75
2001M08,3.66
2001M09,3.27
2001M10,2.52
2001M11,2.08
2001M12,1.75
2002,1.25
2002Q1,1.75
2002M01,1.75
2002M02,1.75
2002M03,1.75
2002Q2,1.75
2002M04,1.75
2002M05,1.75
2002M06,1.75
2002Q3,1.75
2002M07,1.75
2002M08,1.75
2002M09,1.75
2002Q4,1.25
2002M10,1.75
2002M11,1.25
2002M12,1.25
2003,1.00
2003Q1,1.25
2003M01,1.25
2003M02,1.25
2003M03,1.25
2003Q2,1.00
2003M04,1.25
2003M05,1.25
2003M06,1.00
2003Q3,1.00
2003M07,1.00
2003M08,1.00
2003M09,1.00
2003Q4,1.00
2003M10,1.00
2003M11,1.00
2003M12,1.00
2004,2.25
2004Q1,1.00
2004M01,1.00
2004M02,1.00
2004M03,1.00
2004Q2,1.25
2004M04,1.00
2004M05,1.00
2004M06,1.25
2004Q3,1.75
2004M07,1.25
2004M08,1.50
2004M09,1.75
2004Q4,2.25
2004M10,1.75
2004M11,2.00
2004M12,2.25
2005,4.25
2005Q1,2.75
2005M01,2.25
2005M02,2.50
2005M03,2.75
2005Q2,3.25
2005M04,2.75
2005M05,3.00
2005M06,3.25
2005Q3,3.75
2005M07,3.25
2005M08,3.50
2005M09,3.75
2005Q4,4.25
2005M10,3.75
2005M11,4.00
2005M12,4.25
2006,5.25
2006Q1,4.75
2006M01,4.50
2006M02,4.50
2006M03,4.75
2006Q2,5.25
2006M04,4.75
2006M05,5.00
2006M06,5.25
2006Q3,5.25
2006M07,5.25
2006M08,5.25
2006M09,5.25
2006Q4,5.25
2006M10,5.25
2006M11,5.25
2006M12,5.25
2007,4.25
2007Q1,5.25
2007M01,5.25
2007M02,5.25
2007M03,5.25
2007Q2,5.25
2007M04,5.25
2007M05,5.25
2007M06,5.25
2007Q3,4.75
2007M07,5.25
2007M08,5.25
2007M09,4.75
2007Q4,4.25
2007M10,4.50
2007M11,4.50
2007M12,4.25
2008,0.13
2008Q1,2.25
2008M01,3.00
2008M02,3.00
2008M03,2.25
2008Q2,2.00
2008M04,2.00
2008M05,2.00
2008M06,2.00
2008Q3,2.00
2008M07,2.00
2008M08,2.00
2008M09,2.00
2008Q4,0.13
2008M10,1.00
2008M11,1.00
2008M12,0.13
2009,0.13
2009Q1,0.13
2009M01,0.13
2009M02,0.13
2009M03,0.13
2009Q2,0.13
2009M04,0.13
2009M05,0.13
2009M06,0.13
2009Q3,0.13
2009M07,0.13
2009M08,0.13
2009M09,0.13
2009Q4,0.13
2009M10,0.13
2009M11,0.13
2009M12,0.13
2010,0.13
2010Q1,0.13
2010M01,0.13
2010M02,0.13
2010M03,0.13
2010Q2,0.13
2010M04,0.13
