Year+Month,CPI
2000,78.97
2000Q1,77.93
2000M01,77.41
2000M02,77.87
2000M03,78.51
2000Q2,78.76
2000M04,78.56
2000M05,78.65
2000M06,79.06
2000Q3,79.38
2000M07,79.25
2000M08,79.25
2000M09,79.66
2000Q4,79.81
2000M10,79.80
2000M11,79.84
2000M12,79.80
2001,81.20
2001Q1,80.58
2001M01,80.30
2001M02,80.62
2001M03,80.81
2001Q2,81.42
2001M04,81.13
2001M05,81.49
2001M06,81.63
2001Q3,81.52
2001M07,81.40
2001M08,81.40
2001M09,81.77
2001Q4,81.29
2001M10,81.49
2001M11,81.36
2001M12,81.03
2002,82.49
2002Q1,81.58
2002M01,81.22
2002M02,81.54
2002M03,82.00
2002Q2,82.47
2002M04,82.46
2002M05,82.46
2002M06,82.50
2002Q3,82.82
2002M07,82.59
2002M08,82.87
2002M09,83.01
2002Q4,83.08
2002M10,83.14
2002M11,83.14
2002M12,82.96
2003,84.36
2003Q1,83.92
2003M01,83.33
2003M02,83.97
2003M03,84.47
2003Q2,84.23
2003M04,84.29
2003M05,84.15
2003M06,84.24
2003Q3,84.64
2003M07,84.34
2003M08,84.66
2003M09,84.93
2003Q4,84.66
2003M10,84.84
2003M11,84.61
2003M12,84.52
2004,86.62
2004Q1,85.42
2004M01,84.93
2004M02,85.39
2004M03,85.94
2004Q2,86.64
2004M04,86.22
2004M05,86.72
2004M06,87.00
2004Q3,86.95
2004M07,86.86
2004M08,86.90
2004M09,87.09
2004Q4,87.47
2004M10,87.55
2004M11,87.59
2004M12,87.27
2005,89.56
2005Q1,88.02
2005Q2,89.20
2005M04,89.24
2005M05,89.15
2005M06,89.20
2005Q3,90.28
2005M07,89.61
2005M08,90.07
2005M09,91.17
2005Q4,90.74
2005M10,91.35
2005M11,90.62
2005M12,90.25
2006,92.45
2006Q1,91.23
2006M01,90.94
2006M02,91.12
2006M03,91.63
2006Q2,92.77
2006M04,92.41
2006M05,92.87
2006M06,93.05
2006Q3,93.29
2006M07,93.32
2006M08,93.51
2006M09,93.05
2006Q4,92.50
2006M10,92.55
2006M11,92.41
2006M12,92.55
2007,95.09
2007Q1,93.44
2007M01,92.83
2007M02,93.32
2007M03,94.17
2007Q2,95.23
2007M04,94.79
2007M05,95.37
2007M06,95.55
2007Q3,95.50
2007M07,95.53
2007M08,95.35
2007M09,95.61
2007Q4,96.18
2007M10,95.82
2007M11,96.39
2007M12,96.32
2008,98.74
2008Q1,97.27
2008M01,96.80
